symbol,date,open,high,low,close,adj close,volume
ASML,2009-01-02,17.700001,18.280001,17.51,18.200001,12.390774,2624500
ASML,2009-01-05,17.799999,18.27,17.77,18.120001,12.336308,1686400
ASML,2009-01-06,18.280001,18.73,18.17,18.549999,12.629059,2723900
ASML,2009-01-07,17.860001,18.059999,17.5,17.73,12.070792,2530500
ASML,2009-01-08,17.790001,17.870001,17.35,17.870001,12.166106,2177500
ASML,2009-01-09,17.379999,17.42,16.82,16.879999,11.492104,1866400
ASML,2009-01-12,16.4,16.52,16.1,16.25,11.06319,2010300
ASML,2009-01-13,16.1,16.639999,16.07,16.379999,11.151697,2748600
ASML,2009-01-14,15.9,15.97,15.44,15.57,10.600241,3851100
ASML,2009-01-15,16.16,16.74,15.92,16.540001,11.260625,5092200
ASML,2009-01-16,16.99,16.99,16.190001,16.709999,11.376365,2962800
ASML,2009-01-20,16.51,16.629999,15.9,15.95,10.858949,2256900
ASML,2009-01-21,16.48,16.629999,15.92,16.559999,11.274243,2793000
ASML,2009-01-22,15.73,16.200001,15.62,15.93,10.84533,2092000
ASML,2009-01-23,15.15,16.360001,15.14,16.219999,11.042766,3105500
ASML,2009-01-26,16.190001,16.700001,16.110001,16.26,11.07,2078500
ASML,2009-01-27,16.58,17.07,16.530001,17.02,11.587418,2001900
ASML,2009-01-28,18.26,18.27,17.709999,17.950001,12.22057,3771100
ASML,2009-01-29,17.24,17.24,16.52,16.67,11.349133,2715600
ASML,2009-01-30,16.870001,17.0,16.41,16.540001,11.260625,1617000
ASML,2009-02-02,16.389999,16.879999,16.360001,16.690001,11.362749,2488600
ASML,2009-02-03,16.75,17.299999,16.43,17.209999,11.716772,3263400
ASML,2009-02-04,16.870001,17.5,16.809999,17.030001,11.594225,2835400
ASML,2009-02-05,17.07,17.57,16.76,17.370001,11.825701,3450100
ASML,2009-02-06,17.860001,18.459999,17.780001,18.299999,12.458854,2940900
ASML,2009-02-09,18.58,18.65,18.25,18.58,12.649485,3459200
ASML,2009-02-10,17.92,18.200001,17.190001,17.4,11.846127,3695200
ASML,2009-02-11,17.41,17.66,17.0,17.219999,11.723578,2415300
ASML,2009-02-12,16.940001,17.27,16.620001,17.219999,11.723578,2540600
ASML,2009-02-13,17.77,18.129999,17.59,17.74,12.0776,3110500
ASML,2009-02-17,16.85,16.879999,16.23,16.32,11.110849,3189400
ASML,2009-02-18,16.4,16.4,15.92,16.110001,10.967878,1939800
ASML,2009-02-19,16.120001,16.190001,15.55,15.68,10.675129,3154700
ASML,2009-02-20,15.2,15.71,15.16,15.48,10.538963,3563300
ASML,2009-02-23,15.3,15.35,14.66,14.72,10.021548,2257100
ASML,2009-02-24,14.9,15.47,14.77,15.38,10.470884,2077900
ASML,2009-02-25,15.26,15.92,14.97,15.56,10.593431,3588000
ASML,2009-02-26,15.83,16.120001,15.33,15.42,10.498118,3501900
ASML,2009-02-27,15.09,15.51,15.0,15.13,10.300681,3417400
ASML,2009-03-02,14.69,14.88,14.21,14.28,9.721993,3745500
ASML,2009-03-03,14.53,14.57,14.03,14.31,9.742416,2671700
ASML,2009-03-04,14.77,15.82,14.77,15.61,10.627472,5524500
ASML,2009-03-05,14.96,15.25,14.54,14.67,9.987507,4733400
ASML,2009-03-06,14.98,15.26,14.29,14.63,9.960278,3034000
ASML,2009-03-09,14.5,14.89,14.3,14.33,9.756032,1992200
ASML,2009-03-10,15.29,16.0,15.12,15.73,10.70917,3833600
ASML,2009-03-11,16.700001,16.879999,15.97,16.35,11.131273,6597200
ASML,2009-03-12,16.02,16.41,15.89,16.370001,11.144887,6578400
ASML,2009-03-13,16.34,16.75,16.27,16.690001,11.362749,2827200
ASML,2009-03-16,17.26,17.299999,16.41,16.559999,11.274243,4475200
ASML,2009-03-17,16.370001,17.209999,16.190001,17.200001,11.709965,2844600
ASML,2009-03-18,16.950001,17.940001,16.84,17.83,12.138876,3348200
ASML,2009-03-19,18.360001,18.379999,17.700001,17.790001,12.111641,5142200
ASML,2009-03-20,17.620001,17.860001,16.719999,16.9,11.50572,4789500
ASML,2009-03-23,17.280001,17.950001,17.17,17.950001,12.22057,2334000
ASML,2009-03-24,17.34,17.700001,17.059999,17.110001,11.648691,2851600
ASML,2009-03-25,17.93,17.969999,16.93,17.440001,11.873357,5561700
ASML,2009-03-26,17.549999,18.280001,17.540001,18.209999,12.397585,4222300
ASML,2009-03-27,17.360001,17.540001,17.200001,17.440001,11.873357,2604800
ASML,2009-03-30,17.110001,17.209999,16.860001,17.07,11.804205,4697200
ASML,2009-03-31,17.469999,17.82,17.41,17.51,12.108471,3548500
ASML,2009-04-01,17.17,17.91,17.120001,17.77,12.288269,4278900
ASML,2009-04-02,18.040001,18.639999,17.790001,18.4,12.723927,2676800
ASML,2009-04-03,18.24,19.02,18.139999,18.98,13.125003,3694600
ASML,2009-04-06,19.09,19.09,18.51,19.01,13.145749,5161600
ASML,2009-04-07,18.26,18.5,17.959999,18.040001,12.474978,2293500
ASML,2009-04-08,18.450001,18.59,18.15,18.42,12.737753,2457600
ASML,2009-04-09,18.559999,19.43,18.549999,19.17,13.256391,3481700
ASML,2009-04-13,19.1,19.540001,18.83,19.43,13.436184,2649900
ASML,2009-04-14,19.209999,19.709999,19.190001,19.59,13.54683,4729200
ASML,2009-04-15,19.41,19.99,18.99,19.59,13.54683,4461500
ASML,2009-04-16,19.18,20.17,19.18,20.049999,13.864926,5920600
ASML,2009-04-17,20.23,20.91,20.120001,20.690001,14.3075,5498800
ASML,2009-04-20,19.74,19.780001,19.139999,19.200001,13.277138,3598200
ASML,2009-04-21,19.049999,19.549999,19.0,19.5,13.484595,3333500
ASML,2009-04-22,19.129999,20.32,19.110001,20.02,13.844183,6056100
ASML,2009-04-23,20.290001,20.42,19.82,20.370001,14.086216,3616900
ASML,2009-04-24,20.08,20.309999,19.969999,20.1,13.899502,2306000
ASML,2009-04-27,19.629999,19.84,19.35,19.48,13.470762,2824400
ASML,2009-04-28,19.139999,19.5,19.09,19.309999,13.353204,1792800
ASML,2009-04-29,19.67,20.1,19.610001,19.709999,13.629811,1311400
ASML,2009-04-30,20.41,21.450001,20.309999,21.15,14.625595,5813300
ASML,2009-05-01,21.110001,21.5,20.73,21.18,14.646341,2402000
ASML,2009-05-04,21.32,22.17,21.32,22.120001,15.29637,3734800
ASML,2009-05-05,21.9,21.950001,21.09,21.49,14.860712,2533800
ASML,2009-05-06,21.17,21.42,20.74,21.120001,14.604851,2512400
ASML,2009-05-07,20.83,20.879999,19.51,19.84,13.719709,4301000
ASML,2009-05-08,19.91,20.049999,19.110001,19.74,13.650556,3286300
ASML,2009-05-11,19.02,19.4,18.85,19.17,13.256391,2091500
ASML,2009-05-12,19.43,19.530001,18.719999,19.129999,13.228733,1812400
ASML,2009-05-13,18.91,18.950001,18.32,18.469999,12.772332,2807200
ASML,2009-05-14,19.059999,19.27,18.860001,19.120001,13.221822,1933800
ASML,2009-05-15,19.23,19.6,19.120001,19.16,13.249475,1960500
ASML,2009-05-18,19.24,20.16,19.24,19.98,13.816523,3381800
ASML,2009-05-19,20.15,20.67,20.07,20.33,14.05855,2902500
ASML,2009-05-20,20.68,21.040001,20.190001,20.290001,14.030892,1907800
ASML,2009-05-21,20.059999,20.26,19.690001,19.870001,13.740456,2599700
ASML,2009-05-22,20.01,20.09,19.540001,19.82,13.705877,1973800
ASML,2009-05-26,19.77,20.530001,19.74,20.459999,14.148447,2408400
ASML,2009-05-27,20.34,20.549999,20.030001,20.139999,13.927163,2325200
ASML,2009-05-28,20.24,20.4,19.6,20.209999,13.975572,2914600
ASML,2009-05-29,20.540001,20.76,20.34,20.700001,14.314416,1605400
ASML,2009-06-01,21.040001,22.0,21.01,21.84,15.102742,3553200
ASML,2009-06-02,22.129999,22.209999,21.690001,21.76,15.047421,3493600
ASML,2009-06-03,21.26,21.309999,20.75,20.98,14.50804,2047300
ASML,2009-06-04,21.17,21.34,20.85,21.24,14.687833,2835200
ASML,2009-06-05,21.09,21.209999,20.43,20.52,14.189942,3234500
ASML,2009-06-08,20.15,20.59,20.07,20.469999,14.155363,1486000
ASML,2009-06-09,20.540001,21.02,20.540001,20.9,14.452719,2391100
ASML,2009-06-10,21.34,21.530001,21.02,21.370001,14.777727,4048600
ASML,2009-06-11,21.17,21.5,21.17,21.23,14.680918,1884500
ASML,2009-06-12,21.27,21.33,20.860001,21.280001,14.715495,1961400
ASML,2009-06-15,20.790001,20.940001,20.42,20.809999,14.39048,2753200
ASML,2009-06-16,20.9,21.059999,20.57,20.68,14.300586,2503500
ASML,2009-06-17,20.360001,20.75,20.01,20.629999,14.266009,2481500
ASML,2009-06-18,20.34,20.559999,20.209999,20.33,14.05855,2016400
ASML,2009-06-19,20.42,20.84,20.389999,20.68,14.300586,1591200
ASML,2009-06-22,20.370001,20.66,20.049999,20.1,13.899502,1598900
ASML,2009-06-23,20.35,20.35,19.66,20.049999,13.864926,4837500
ASML,2009-06-24,20.440001,20.9,20.4,20.620001,14.25909,1225500
ASML,2009-06-25,20.26,21.219999,20.23,21.08,14.577191,1699900
ASML,2009-06-26,21.43,21.52,21.23,21.379999,14.784645,1781800
ASML,2009-06-29,21.42,21.540001,21.23,21.49,14.860712,994100
ASML,2009-06-30,21.780001,21.879999,21.370001,21.65,14.971356,1295900
ASML,2009-07-01,22.370001,22.65,22.219999,22.27,15.400096,2180400
ASML,2009-07-02,22.02,22.1,21.75,22.07,15.261796,2961200
ASML,2009-07-06,21.76,22.02,21.4,21.84,15.102742,2393700
ASML,2009-07-07,21.959999,22.049999,21.440001,21.5,14.867627,2482500
ASML,2009-07-08,21.280001,21.35,20.889999,21.209999,14.667087,2403200
ASML,2009-07-09,21.6,21.799999,21.33,21.67,14.985185,1651900
ASML,2009-07-10,20.99,21.440001,20.93,21.24,14.687833,2531000
ASML,2009-07-13,21.65,22.01,21.35,21.99,15.20647,1920100
ASML,2009-07-14,21.879999,22.16,21.790001,22.0,15.213386,3502500
ASML,2009-07-15,22.950001,23.540001,22.76,23.389999,16.174599,7279700
ASML,2009-07-16,23.16,23.51,22.870001,23.440001,16.209171,4243500
ASML,2009-07-17,23.459999,23.84,23.280001,23.809999,16.465034,2878500
ASML,2009-07-20,23.889999,24.049999,23.6,24.030001,16.617165,3058400
ASML,2009-07-21,23.99,24.02,23.370001,23.879999,16.513441,2622700
ASML,2009-07-22,24.049999,24.629999,23.950001,24.35,16.838453,2940700
ASML,2009-07-23,24.110001,24.66,24.059999,24.48,16.92835,2578400
ASML,2009-07-24,24.34,24.5,24.030001,24.450001,16.907602,1322700
ASML,2009-07-27,24.379999,24.4,23.75,24.110001,16.672489,2485700
ASML,2009-07-28,23.870001,24.42,23.870001,24.360001,16.845367,1983400
ASML,2009-07-29,24.41,24.67,24.18,24.620001,17.02516,1445000
ASML,2009-07-30,24.93,25.629999,24.85,25.280001,17.481562,5471900
ASML,2009-07-31,25.73,26.209999,25.549999,26.01,17.986372,4547200
ASML,2009-08-03,26.200001,26.43,25.969999,26.389999,18.249147,3102500
ASML,2009-08-04,26.459999,26.57,26.209999,26.35,18.221489,3051600
ASML,2009-08-05,25.780001,25.870001,25.15,25.41,17.571463,3103800
ASML,2009-08-06,25.700001,25.77,25.0,25.18,17.412416,2209500
ASML,2009-08-07,25.690001,25.950001,25.48,25.690001,17.765091,3748100
ASML,2009-08-10,25.469999,25.540001,25.280001,25.530001,17.654446,3270900
ASML,2009-08-11,25.08,25.35,24.83,25.26,17.467733,2073200
ASML,2009-08-12,25.709999,26.049999,25.68,25.879999,17.896475,2412800
ASML,2009-08-13,25.99,26.09,25.709999,26.02,17.993286,1941500
ASML,2009-08-14,25.99,25.99,25.389999,25.57,17.682106,1485400
ASML,2009-08-17,25.16,25.209999,24.889999,25.0,17.287941,1574300
ASML,2009-08-18,25.450001,25.6,25.27,25.49,17.626785,1602400
ASML,2009-08-19,25.549999,26.030001,25.389999,25.98,17.965626,2301700
ASML,2009-08-20,26.129999,26.389999,25.99,26.16,18.090101,2602900
ASML,2009-08-21,26.75,26.93,26.450001,26.9,18.601826,2840300
ASML,2009-08-24,27.379999,27.450001,26.74,26.809999,18.539585,1976100
ASML,2009-08-25,27.23,27.299999,26.74,27.01,18.677889,2083500
ASML,2009-08-26,27.139999,27.620001,27.049999,27.49,19.009819,3136500
ASML,2009-08-27,27.700001,27.889999,27.33,27.870001,19.272594,2424200
ASML,2009-08-28,28.549999,28.82,27.780001,27.969999,19.341743,2226100
ASML,2009-08-31,27.52,27.6,27.200001,27.469999,18.995995,1371200
ASML,2009-09-01,27.23,27.780001,26.58,26.629999,18.415113,2849500
ASML,2009-09-02,25.809999,26.459999,25.780001,26.33,18.207659,3154800
ASML,2009-09-03,26.950001,27.09,26.66,27.07,18.719379,2178300
ASML,2009-09-04,27.01,27.870001,27.0,27.82,19.238022,1978700
ASML,2009-09-08,28.85,28.860001,28.27,28.440001,19.666758,3676700
ASML,2009-09-09,28.799999,29.49,28.690001,29.389999,20.3237,3320100
ASML,2009-09-10,30.07,30.190001,29.459999,29.76,20.579563,8688200
ASML,2009-09-11,29.870001,29.9,29.09,29.379999,20.316786,4320800
ASML,2009-09-14,28.959999,29.58,28.959999,29.48,20.385937,2270800
ASML,2009-09-15,29.84,30.049999,29.75,30.0,20.745529,2745600
ASML,2009-09-16,30.0,30.379999,29.68,30.309999,20.959894,5452900
ASML,2009-09-17,29.5,29.75,28.93,29.040001,20.081673,5559000
ASML,2009-09-18,29.040001,29.389999,29.0,29.33,20.282209,1901500
ASML,2009-09-21,29.15,29.559999,29.129999,29.51,20.406689,1157700
ASML,2009-09-22,29.92,30.110001,29.84,29.950001,20.710955,2341500
ASML,2009-09-23,29.969999,30.219999,29.610001,29.620001,20.482752,2910700
ASML,2009-09-24,29.799999,29.92,29.200001,29.290001,20.254551,2442600
ASML,2009-09-25,29.040001,29.299999,28.889999,29.049999,20.088583,2257500
ASML,2009-09-28,29.34,29.9,29.309999,29.540001,20.427429,1599900
ASML,2009-09-29,29.51,29.58,29.0,29.07,20.102417,1369800
ASML,2009-09-30,29.309999,29.610001,28.84,29.57,20.448175,2641300
ASML,2009-10-01,29.52,29.620001,28.280001,28.309999,19.57686,2750800
ASML,2009-10-02,27.950001,28.540001,27.940001,28.24,19.528458,1485800
ASML,2009-10-05,28.309999,28.93,28.15,28.84,19.943369,1542800
ASML,2009-10-06,29.35,30.030001,29.299999,29.92,20.690207,2651300
ASML,2009-10-07,29.49,29.57,29.110001,29.4,20.330616,1557100
ASML,2009-10-08,29.75,29.950001,29.389999,29.67,20.51733,2243000
ASML,2009-10-09,29.860001,30.48,29.73,30.41,21.029051,2603100
ASML,2009-10-12,31.200001,31.559999,31.15,31.389999,21.706734,1509300
ASML,2009-10-13,32.220001,32.369999,31.6,31.65,21.886532,3842400
ASML,2009-10-14,31.809999,31.82,30.52,31.0,21.43705,6294600
ASML,2009-10-15,30.700001,30.74,29.950001,30.24,20.911491,3766300
ASML,2009-10-16,30.01,30.01,29.290001,29.469999,20.379025,4037700
ASML,2009-10-19,29.809999,30.08,29.5,29.700001,20.538076,4308000
ASML,2009-10-20,29.93,29.969999,29.309999,29.43,20.35136,3386700
