Sale Date,Product Type,Quantity
2023-01-01 02:00:00.000000000,Books,7
2023-01-01 01:26:12.558627931,Electronics,2
2023-01-01 06:52:25.117255862,Clothing,9
2023-01-01 20:18:37.675883794,Electronics,14
2023-01-01 07:44:50.234511725,Books,7
2023-01-01 09:11:02.793139656,Toys,10
2023-01-01 10:37:15.351767588,Electronics,3
2023-01-02 01:03:27.910395519,Toys,6
2023-01-01 11:29:40.469023451,Clothing,4
2023-01-01 13:55:53.027651382,Electronics,2
2023-01-01 16:22:05.586279313,Electronics,6
2023-01-01 15:48:18.144907245,Books,5
2023-01-01 06:14:30.703535176,Toys,9
2023-01-01 08:40:43.262163108,Toys,2
2023-01-01 23:06:55.820791039,Furniture,10
2023-01-01 17:33:08.379418970,Books,4
2023-01-02 04:59:20.938046902,Electronics,2
2023-01-02 04:25:33.496674833,Clothing,5
2023-01-01 09:51:46.055302765,Clothing,2
2023-01-01 20:17:58.613930696,Furniture,8
2023-01-02 04:44:11.172558627,Furniture,3
2023-01-01 20:10:23.731186559,Furniture,4
2023-01-02 06:36:36.289814490,Furniture,2
2023-01-02 05:02:48.848442422,Clothing,9
2023-01-02 09:29:01.407070353,Clothing,3
2023-01-02 00:55:13.965698284,Toys,5
2023-01-02 07:21:26.524326216,Books,4
2023-01-02 08:47:39.082954147,Furniture,1
2023-01-01 19:13:51.641582079,Electronics,6
2023-01-02 00:40:04.200210010,Furniture,2
2023-01-01 19:06:16.758837941,Books,6
2023-01-01 19:32:29.317465873,Toys,7
2023-01-02 09:58:41.876093804,Toys,3
2023-01-01 22:24:54.434721736,Clothing,4
2023-01-02 13:51:06.993349667,Books,9
2023-01-01 23:17:19.551977598,Books,7
2023-01-02 09:43:32.110605530,Toys,6
2023-01-01 23:09:44.669233461,Clothing,9
2023-01-02 07:35:57.227861393,Electronics,2
2023-01-01 20:02:09.786489324,Clothing,3
2023-01-02 14:28:22.345117255,Toys,10
2023-01-01 19:54:34.903745187,Toys,7
2023-01-02 13:20:47.462373118,Toys,9
2023-01-02 02:47:00.021001050,Books,1
2023-01-02 16:13:12.579628981,Electronics,14
2023-01-02 03:39:25.138256912,Furniture,2
2023-01-02 05:05:37.696884844,Toys,3
2023-01-02 10:31:50.255512775,Electronics,8
2023-01-02 12:58:02.814140707,Clothing,9
2023-01-02 00:24:15.372768638,Furniture,9
2023-01-02 16:50:27.931396569,Clothing,3
2023-01-02 09:16:40.490024501,Clothing,9
2023-01-02 14:42:53.048652432,Electronics,15
2023-01-02 09:09:05.607280364,Toys,1
2023-01-02 02:35:18.165908295,Furniture,5
2023-01-02 07:01:30.724536226,Electronics,6
2023-01-02 18:27:43.283164158,Electronics,3
2023-01-02 23:53:55.841792089,Toys,2
2023-01-02 18:20:08.400420021,Clothing,3
2023-01-02 22:46:20.959047952,Toys,9
2023-01-02 07:12:33.517675883,Furniture,9
2023-01-02 21:38:46.076303815,Toys,4
2023-01-02 20:04:58.634931746,Clothing,5
2023-01-02 15:31:11.193559677,Furniture,8
2023-01-02 19:57:23.752187609,Toys,2
2023-01-02 11:23:36.310815540,Clothing,2
2023-01-02 14:49:48.869443472,Electronics,15
2023-01-02 22:16:01.428071403,Clothing,10
2023-01-02 12:42:13.986699334,Electronics,3
2023-01-03 04:08:26.545327266,Electronics,6
2023-01-02 08:34:39.103955197,Electronics,9
2023-01-02 09:00:51.662583129,Books,4
2023-01-02 15:27:04.221211060,Toys,4
2023-01-03 00:53:16.779838991,Clothing,10
2023-01-03 02:19:29.338466923,Toys,4
2023-01-02 23:45:41.897094854,Toys,4
2023-01-02 12:11:54.455722786,Electronics,10
